ID,Name,Sex,Age,Height,Weight 
1245,Fernando Aguilar Camacho,M,26,178,64
1246,Florencio Aguilar Mejia,M,24,168,62
1247,Iaki Aguilar Vicente,M,24,189,82
1248,Irving Jaime Aguilar Robles,M,26,173,64
1249,Jos Aguilar Pulsn,M,20,173,64
1250,Juan Aguilar,M,21,174,75
1251,Karel Aguilar Chacn,M,24,175,85
1252,Luis Enrique Aguilar Brenes,M,16,179,71
1254,Macarena Aguilar Daz,F,27,170,67
1255,Mariano I. Aguilar,M,,,
1257,Maximiliano Aguilar Salazar,M,18,161,70
1258,Michael Aguilar,M,24,178,77
1259,Natalia Irina Natasha Aguilar Komissarova,F,18,163,54
1260,Domingo Omar Aguilar Cardenas,M,24,171,62
1261,Rafael Aguilar Morillo,M,22,178,74
1262,Sandra Aguilar Navarro,F,19,167,50
1263,Severino Aguilar Fruto,M,32,164,70
1264,Wendy Aguilar,F,24,,
1265,Yulenmis Aguilar Martnez,F,20,165,66
1266,Ana Carolina Aguilera,F,19,161,53
1267,Errol Aguilera,M,23,175,77
1268,Esteban Aguilera Leiva,M,18,169,60
1269,Jessica Carolina Aguilera Aguilera,F,23,167,57
1270,Jorge Luis Aguilera Ruiz,M,26,172,64
1271,Tomas Alonso Aguilera Armendariz,M,27,202,95
1272,Yosvany Aguilera Zamora,M,21,163,54
1273,Lua del Mar Aguili Ribera,F,22,170,67
1274,Julen Aguinagalde Akizu,M,29,196,113
1275,Carlos Aguirre,M,30,183,72
1276,Carlos Aguirre,M,24,178,64
1277,Carolina Aguirre Giraldo,F,20,160,59
1278,Damaris Gabriela Aguirre Aldaz,F,27,163,75
1279,rick Germain Aguirre Tafolla,M,19,170,60
1280,Facundo Aguirre,M,20,182,78
1281,Gabriela Aguirre,F,30,164,58
1282,Gustavo Hernando Aguirre,M,23,185,75
1283,Jeinkler Ernesto Aguirre Manso,M,18,165,57
1284,Jess Aguirre Delgado,M,,175,
1285,Jorge S. Aguirre Martin,M,,,
1286,Jorge David Aguirre Wardi,M,30,,
1287,Jos Luis Aguirre Arruti,M,21,186,82
1288,Juan Luis Aguirre Barco,M,21,,
1290,Marcelo Vctor Aguirre,M,15,174,66
1291,Mason Singer Aguirre,M,18,183,68
1292,Ordan Ramn Aguirre,M,25,170,65
1294,William Duilio Aguirre Villavicencio,M,29,173,65
1295,Luis Aguirrebea Gabiola,M,32,,
1296,Pedro Manuel Aguirrebea Gabiola,M,30,,
1297,Matas Aguirregaray Guruceaga,M,23,183,78
1298,Diego Aguirregomezcorta,M,25,190,83
1299,Mikel Aguirrezabalaga Garca,M,28,196,92
1300,Marianne Agulhon,F,26,170,56
1301,Sri Wahyuni Agustiani,F,21,147,47
1302,Agustn Rodrguez Santiago,M,20,191,85
1303,Manuel Agustn Peypoch,M,36,,
1304,Gurn Fema gstsdttir,F,17,166,56
1305,Jos Agut Bonfills,M,23,178,68
1306,Lameck Aguta Orero,M,24,173,59
1307,Albert Agyemang,M,18,169,70
1308,Joseph Agyemang-Gyau,M,25,168,69
1309,Francis Keita Agyepong,M,27,179,73
1310,Jacqueline Nana A. D. Jackie Agyepong,F,23,172,63
1311,Nicholas Mark Nick AHern,M,23,169,61
1312,Michael H. G. Ah Matt,M,21,188,73
1313,Robyn Mokihana Ah Mow-Santos,F,24,172,67
1314,Juliette Chantal Ah-Wan,F,27,155,57
1315,Sabiahmad Abdullah Ahad,M,28,168,68
1316,Feta Ahamada,F,21,160,50
1317,Younes Al-Ahamdi,M,28,167,60
1318,Joseph Ahanda,M,20,160,54
1319,Clarice Ahanotu,F,25,165,51
1320,Kelsie Ahbe,F,25,170,63
1321,Daniel William Dan Ahearn (Ahearne-),M,32,178,69
1322,Kevin Joseph Ahearn,M,23,175,73
1323,Timothy Joseph Tim Ahearne,M,22,170,57
1324,Frederick Anthony Fred Ahern,M,48,,
1325,Patrick Lee Pat Ahern,M,23,183,73
1326,Michael Kofi Mike Ahey,M,24,196,72
1327,Koku Mensah Ahiaku,M,29,175,69
1328,Stephen Dotse Koblah Ahialey,M,22,,
1329,Lahcen Ahidous,M,19,188,84
1330,Augustine Ahinful,M,21,177,74
1331,Jahan Ahir,M,,,
1332,Toivo Eemil Ahjopalo (Andelin-),M,23,174,69
1333,Bruno Valfrid Ahlberg,M,21,168,69.5
1334,Flemming Ahlberg,M,25,175,63
1335,Gillis Ferdinand Ahlberg,M,19,,
1336,Mats Bertil hlberg,M,24,179,78
1337,Olof Ahlberg,M,71,,
1338,Erik Torsten Ahldn,M,24,182,67
1339,William Alexander (Wilhelm Alexander-) Ahlemeyer,M,29,,
1340,Annica Gunilla hln,F,23,177,75
1341,Johan Petter hln (Andersson-),M,44,,
1342,Thomas Valter hln,M,24,182,90
1343,Emilio Leodegardo Ahlers Salome,M,25,179,81
1344,Jos Pablo A. Ahlers Henderson,M,27,181,80
1345,Maria Ria Ahlers (-Steenpaal),F,18,187,68
1346,Anselm Ahlfors,M,26,,
1347,Alexis Malkolm Ahlgren,M,24,158,56
1348,Anders Oscar Ahlgren,M,24,,
1349,Elisabeth Ulla Johanna kesdotter Ahlgren (-Borglin),F,23,,
1350,George Lewis Ahlgren,M,19,,
1351,Mats Lennart Ahlgren,M,25,190,80
1352,Nils Bertil Ahlin,M,21,,
1353,Erik Lennart Ahlin,M,48,185,78
1354,Johanna Maria Helne Ahlm,F,20,175,69
1355,Henrik Aleksander Heikki hlman (-Pennola),M,26,,
1356,Christian Ahlmann,M,29,189,80
1357,Else Margrethe Ahlmann-Ohlsen,F,20,,
1358,Kerstin Lucia Ahlqvist (-Winnberg),F,24,,
1359,Thure Johan Ahlqvist,M,25,,
1360,Tor Ahlsand,M,33,186,78
1361,Per Egil Ahlsen,M,26,182,75
1362,Anna Margareta Ann-Margret Ahlstrand (-Osterman),F,23,,
1363,Bengt Anders Ahlstrm,M,27,180,72
1364,Sten Olov Olle hlund,M,31,,
1365,Gustav Rune hlund,M,26,,
1366,Jitendarjit Singh Ahluwalia,M,25,179,69
1367,Abbas Ahmad,M,,,
1368,Bashir Ahmad,M,21,175,65
1369,Ibrahim Ahmad,M,22,177,70
1370,Sheikh Mahmood Joe Ahmad,M,30,177,63
1371,Maqsood Ahmad,M,23,178,60
1372,Mohamed Ahmad Ali Gharib Juma,M,23,178,73
1373,Ramli Ahmad,M,19,175,67
1374,Tontowi Ahmad,M,25,179,72
1375,Waseem Ahmad,M,23,165,64
1376,Yahya Ahmad,M,21,146,57
1377,Elaheh Ahmadi,F,30,160,62
1378,Arne Per hman,M,23,176,64
1379,Jrg Ahmann,M,30,190,88
1380,Christine M. Crissy Ahmann-Leighton (-Perham),F,22,172,52
1381,Abdalla Ahmed,M,24,198,72
1382,Abdel Latif Ahmed,M,24,202,90
1383,Abdul Lahij Ahmed,M,,175,55
1384,Abdullah Ali Ahmed,M,26,181,73
1385,Adnan Ahmed,M,26,174,70
1386,Muhammad Akhlaq Ahmed,M,20,,
1387,Alaa Ahmed Khdhayir,M,28,170,69
1388,Alaa El-Din Ahmed,M,20,189,91
1389,Muhammad Ashfaq Ahmed,M,21,162,62
1390,Azneem Ahmed,M,23,169,65
1391,Bashir Ahmed,M,25,171,67
1392,Esraa Ahmed El-Sayed,F,17,150,63
1393,Fareed Ahmed,M,23,,
1394,Ghofran Ahmed Zaki,M,23,192,68
1395,Hadi Ahmed Basheer,M,,184,75
1396,Hamid Ahmed,M,,,
1397,Hassan Kamel Ahmed,M,24,,
1398,Heba Ahmed,F,23,176,72
1399,A. Hussain Ahmed,M,,,
1400,Ishtiaq Ahmed,M,21,170,62
1401,Mahmoud Ahmed,M,28,184,82
1402,Manzoor Ahmed,M,20,169,75
1403,Masood Mirza Ahmed,M,,,
1404,Mohammed Abdul Elah Ahmed,M,23,170,61
1405,Mohammed Ahmed,M,21,182,56
1406,Muhammad Anis Ahmed,M,26,177,74
1407,Mumtaz Ahmed,M,34,178,79
1408,Mushtaq Ahmed,M,28,170,70
1409,Mushtaq Ahmed,M,27,173,61
1410,Nasir Ahmed,M,23,165,65
1411,Raed Ahmed,M,29,,98
1412,Riaz Ahmed,M,27,150,70
1413,Samia Mohamed Hagrass Ahmed,F,20,170,57
1414,Shahbaz Ahmed,M,20,175,61
1415,Shakeel Ahmed,M,21,,
1416,Shamha Ahmed,F,18,150,42
1417,Shehabeldin Ahmed Saad Ahmed Saad,M,21,174,73
1418,Sohail Ahmed,M,25,174,57
1419,Zemzem Ahmed Deko,F,23,170,53
1420,Ehab Fuad Ahmed Nagi,M,20,175,65
1421,Masbah Ahmmed,M,21,,
1422,Ahn Jin-Soo,M,18,178,70
1423,Manfred Ahne,M,22,174,77
1425,Eugen Nikolaus Ahnstrm,M,23,,
1426,Aimo Antero Aho,M,29,186,91.5
1427,Matti Olavi Aho,M,26,181,82.5
1428,Paavo Aho,M,20,180,63
1429,Pascal Aho,M,,,
1430,Seppo Risto Aho,M,24,174,70
1431,Viljo Johannes Aho,M,27,174,68.5
1432,Seppo Johannes Ahokainen,M,24,178,82
1433,Juha Matti Ahokas,M,18,189,116
1434,Kouame Calixte Aholou,M,21,174,65
1435,Janne Petteri Ahonen,M,16,184,66
1436,Leo Vilhelm Ahonen,M,28,197,96
1437,Pirjo Hannele Ahonen (Nieminen- Blomqvist-),F,31,173,61
1438,Odile Ahouanwanou,F,21,178,71
1439,Murielle Ahour,F,24,165,58
1440,Herwig Ahrendsen,M,24,180,77
1441,Erich Ahrendt,M,27,174,81
1443,Brigitte Ahrenholz,F,23,178,85
1444,Christian Chris Ahrens,M,24,195,97
1445,Gaby Diana Ahrens,F,27,169,60
1446,Guillermo Ahrens Valdivia,M,,,
1447,Marlene Ahrens Ostertag (-Ebensperger),F,23,176,70
1448,Stefan Ahrens,M,23,178,70
1449,Thomas Ahrens,M,16,163,50
1450,Gunnar Johan hs,M,36,,
1451,Mohammad Ahsan,M,24,173,72
1452,Mustafa M. Ahshad,M,21,,113
1453,Nicole Ahsinger,F,18,163,58
1454,Gustav Edgar Trner hsman,M,25,,
1455,Neha Ahuja,F,24,162,54
1456,Antonio Ahumada Ruiz,M,,,
1457,Daniel Ahumada Gaete,M,24,,
1458,Herminio F. Ahumada Ortiz,M,24,175,
1459,Ren Ahumada Rodrguez,M,,,
1461,Viktor Ahven,M,31,187,103
1462,Michelle-Lee Raquel Ahye,F,20,160,64
1463,Ai Linuer,M,25,160,62
1464,Ai Yanhan,F,14,168,54
1465,Jrmy Aicardi,M,27,178,83
1466,Matteo Aicardi,M,26,192,102
1467,Mara Magdalena Aicega Amicarelli,F,22,165,60
1468,Mohamed Al-Aich,M,23,185,73
1469,Hans Aichele,M,24,,
1470,Utz Aichinger,M,30,180,78
1471,Juan ngel Luis Aichino,M,20,,
1472,Vlad-Drago Aicoboae,M,22,197,91
1473,Hideaki Aida,M,21,175,71
1474,Chrif Baba Aidara,M,24,177,70
1475,Aleksis Aide,M,24,,
1476,Mehdi Aidet,M,26,172,65
1477,Neringa Aidietyt,F,29,177,60
1478,Rosaria Aiello,F,27,172,74
1479,Pasquale Aiese,M,22,176,76
1480,Franz Aigner,M,32,,107
1481,Hannes Aigner,M,23,183,75
1482,Ingeborg Inge Aigner (-Weichert),F,21,172,67
1483,Nobuyuki Aihara,M,21,154,53
1484,Toyoyi Aihara,M,22,,
1485,Yutaka Aihara,M,21,156,55
1486,Kerstin Monika ij (-Lenndin),F,24,166,63
1487,Ryoji Aikawa,M,28,183,85
1488,Harry Leslie Aikines-Aryeetey,M,27,180,87
1489,Alexander Michael Hirst Aikman,M,23,,
1490,Clelia Ailara,F,28,169,61
1491,Alessandro Aimar,M,25,178,68
1492,Ambrosio Aimar,M,,,
1493,Lucien Aimar,M,23,170,
1494,Mongkol Aimmanolrom,M,,,
1495,Richard Aimonetto,M,25,183,86
1496,Giacomo Aimoni,M,24,170,72
1497,Djamel Ainaoui,M,25,175,58
1500,Kurt Harold Ainsworth,M,22,187,84
1501,Sarah Catherine Ainsworth,F,24,170,61
1503,John Creyghton Ainsworth-Davis,M,25,,
1504,Armi Ursula Airaksinen (-Bveryd),F,18,166,59
1505,Joan Winnifred Airey (-Weedon),F,22,,
1506,Mauro Gabriel Airez,M,19,188,70
1507,Markku Erkki Airio,M,24,188,96.5
1508,Enrico Airoldi,M,24,,
1509,Remo Airoldi,M,26,,
1510,Anna Airy (-Pocock),F,45,,
1511,Michael Christopher Aish,M,24,175,60
1513,Nicolas Assat,M,24,175,61
1514,Tassadit Assou,F,19,184,80
1515,Saiyidah Aisyah Mohamed Rafaee,F,28,173,68
1516,Rachid Ait Atmane,M,23,190,76
1517,Hamid Ait Bighrade,M,28,164,54
1518,Kamel Ait Daoud,M,23,180,70
1519,Anasse At El Abdia,M,23,180,66
1520,Miloud Ait Hammi,M,26,178,69
1521,Amina Mina At Hammou,F,22,166,52
1522,Seltana At Hammou,F,24,163,48
1523,Makhlouf Ait Hocine,M,21,182,79
1524,Ahmed Ait Moulay,M,19,,
1525,Zied Ait Ouagram,M,23,191,75
1526,Samir At Sad,M,26,167,65
1527,Souad At Salem (-Mahour-Bacha),F,25,158,50
1528,Brahim Ait Sibrahim,M,17,,
1529,Fiorella Ata Junek,F,23,170,65
1530,Gordon Gord Aitchison,M,27,,
1531,Frances Helen Aitchison (-Leisk),F,30,,
1532,Andrew Irving Andy Aitken,M,29,,
1533,Robert Bobby Aitken Jr.,M,23,,
1534,Brett Aitken,M,21,173,65
1535,Kiera Leigh Aitken,F,20,167,55
1536,Robert Ingersoll Aitken,M,50,,
1537,William Victor Aitken,M,19,,
1539,Marina Aleksandrovna Aitova (Korzhova-),F,21,177,58
1540,Artur Surenovych Aivazian,M,27,177,88
1541,Yakubu Aiyegbeni,M,17,170,79
1542,Hiroyasu Aizawa,M,18,169,63
1543,Iwao Aizawa,M,21,,
1544,Marion Aizpors,F,27,180,67
1545,Hctor Aizpuro,M,19,181,82
1546,Eirini Andili,F,17,167,45
1547,Edward Alabi Ajado,M,23,,
1548,Efe Ajagba,M,22,190,
1549,Mozafar Ajali,M,29,,105
1550,Irene Ajambo,F,17,163,69
1551,Oluwafemi Junior Ajayi,M,20,172,79
1552,Kikelomo Ajayi,F,23,164,57
1553,Astrit Ajdarevi,M,26,190,80
1554,Omar Ajete Iglesias,M,27,175,93
1555,Geard Ajetovi,M,19,170,67
1556,Ebenezer Oluwafemi Femi Ajilore,M,23,185,75
1557,Naasan Ajjoub,M,19,172,91
1558,Salem Ajjoub,M,26,175,90
1559,Zita Ajkler,F,25,170,56
1560,Angela Ajodo,F,19,,
1561,Mobolade Abimbola Ajomale,M,20,180,62
1562,Olusegun Ajose,M,20,165,63
1563,Benedicta Ajudua,F,20,155,57
1564,Chioma Ajunwa (-Opara),F,24,164,57
1565,Ahmet Ak,M,22,163,60
1566,Kouadio Vincent Aka-Akesse,M,24,180,96
1567,Yukiko Akaba,F,28,158,43
1568,William Michael Jeffrey Akabi-Davis,M,17,187,58
1569,Kriss Kezie Uche Chukwu Duru Akabusi,M,25,185,81
1570,Ali Akacha,M,26,185,80
1571,Chieko Akagi,F,29,165,59
1572,Kanji Akagi,M,23,,
1573,Norihiro Akahoshi,M,24,170,65
1574,Kosei Akaishi,M,19,172,74
1575,Stella Akakpo,F,22,166,60
1576,Toshiro Akamatsu,M,23,162,56
1577,Muideen Akanji,M,20,,75
1578,Iyabo Akanmu,F,20,,
1579,Nasuh Akar,M,23,,
1580,Akiko Akasaka,F,20,150,52
1581,Yuichi Akasaka,M,24,169,64
1582,Peter Akatsa,M,24,163,72
1583,Hiroyuki Akatsuka,M,43,167,65
1584,Aleksey Nikolayevich Akatyev,M,21,184,68
1585,Taju Akay,M,22,194,81
1586,Shikashi Akazawa,M,25,180,77
1587,zdemir Akbal,M,23,178,58
1588,Salman Akbar,M,22,180,85
1589,Waqar Akbar,M,19,172,58
1590,Ahmed Akbari Javid,M,29,178,75
1591,Ali Akbarnejad,M,24,170,72
1592,Egamnazar Akbarov,M,28,172,73
1593,Fahrettin Akba,M,,,
1594,Fuat Akba,M,,,
1595,Hseyin Akba,M,,167,57
1596,Raif Akbulut,M,,,
1597,smail Akay,M,26,178,61
1598,Tolga Aslan Akcayli,M,19,,
1599,Meryem (Mirriam Jepchirchir-) Akda (Mayo-),F,23,171,51
1600,Tark Langat Akda,M,24,176,60
1601,Vehbi Akda,M,19,168,62
1602,Ahmet Akdilek,M,24,178,67
1605,Adolfas Akelaitis,M,18,,
1606,Patsy Serafina Akeli,F,25,175,89
1607,Anatoly Vasilyevich Akentyev,M,28,185,80
1608,Peter Dag Torsten kerberg,M,28,173,67
1609,Thomas Carl Torsten kerberg,M,29,180,70
1610,Anne Carita kerblom (-Vainio-),F,31,185,83.5
1611,Nils Carlsson kerblom,M,24,,
1612,Ulf Erik kerblom,M,26,180,85
1613,Harry Mikael kerfelt,M,33,,
1614,Rainer Robert kerfelt,M,25,177,74
1615,Rolf Rafael kerfelt,M,19,180,73
1616,Marcus Ricard kerholm,M,28,179,86
1617,Nils Erik kerlindh,M,23,,
1618,Ernst Gunnar kerlund,M,24,,
1620,Bruce Robert Akers,M,19,165,74
1621,Charles Arthur Charlie Akers,M,20,177,73
1622,Michelle Anne Akers,F,30,178,68
1623,Stephen George Akers,M,21,190,82
1625,Jan-Erik kerstrm,M,28,172,62
1626,Rolf Evert kerstrm,M,27,192,98
1627,Henry Hank Akervall,M,26,,
1628,Jns Bruno Vincent kesson,M,25,,
1629,Lars Arne kesson,M,20,180,68
1630,Nikolaos Akestoridis,M,,,
1631,Bilal Akgl,M,25,167,59
1632,brahim Akgl,M,22,163,57
1633,Sezer Akgl,M,20,160,55
1634,Taha Akgl,M,21,192,125
1635,Avni Akgn,M,,,
1636,Svitlana Viktorivna Akhadova,F,23,170,69
1637,Yelena Rabigovna Akhaminova (-Sokolovskaya),F,18,181,80
1638,Joseph Mukuku Akhasamba,M,25,183,80
1639,Albina Khamitovna Akhatova,F,21,160,55
1640,Giorgos Akhilleos,M,19,172,75
1641,Adkhamdzhon Akhilov,M,20,169,54
1642,Akhat Akhirov,M,26,,
1643,Sergey Akhirov,M,31,,
1644,Mohamed Reza Akhlagh Pasand,M,25,160,55
1645,Habibollah Jomeh Akhlaghi,M,26,175,90
1646,Davoud Akhlagi Safa,M,20,168,67
1647,Murodzhon Kakharovich Akhmadaliyev,M,21,165,56
1648,Yerdos Zhaksimbinovich Akhmadiyev,M,28,180,72
1649,Artur Kamilevich Akhmatkhuzin,M,24,187,79
1650,Bakhtiyar Shakhabutdinovich Akhmedov,M,21,190,120
1651,Ibad Amirovich Akhmedov,M,21,160,54
1652,Lyutvi Dzhiber Akhmedov,M,30,184,87
1653,Shukhrat Akhmedov,M,33,,
1654,Leyla Begnyazovna Akhmerova,F,23,160,52
1655,Damir Akhmetbekov,M,21,170,70
1656,Sofia Akhmeteli,F,16,163,59
1657,Bakhyt Beshimbekovich Akhmetov,M,21,175,105
1658,Rustam Fahimovych Akhmetov,M,22,185,74
1659,Igor Vladimirovich Akhremchik,M,26,180,79
1660,Nataliya Akhrimenko (-Petrova),F,25,184,90
1661,Doli Akhtar,F,14,158,53
1662,Gulraiz Akhtar,M,25,172,61
1664,Muhammad Akhtar,M,29,167,62
1665,Naeem Akhtar,M,23,173,65
1666,Shabana Akhtar,F,24,160,51
1667,Mirabella Viliamivna Akhunu,F,17,159,50
1668,Aleksandr Akhyun,M,19,,
1669,Allan Akia,M,23,168,66
1670,Tadahiro Akiba,M,20,173,68
1671,Takeshi Akiba,M,23,172,70
1672,Mercy Akide (-Udoh),F,25,189,79
1673,John Akii-Bua,M,22,188,77
1674,Edward Akika,M,23,176,66
1675,Masahiro Akimoto,M,23,175,63
1676,Anatoly Ivanovich Akimov,M,24,181,84
1677,Andrey Aleksandrovich Akimov,M,21,166,66
1678,Vladimir Ivanovich Akimov,M,27,184,80
1679,Erdoan Akn,M,,,
1680,Oyeronke Akindele,F,22,166,55
1681,Peter Akinlabi,M,27,168,59
1682,Morolake Akinosun,F,22,163,61
1683,Foluke Antinuke Akinradewo,F,24,191,79
1684,Omolade Lade Akinremi,F,21,158,60
1685,Kayode Akinsanya,M,20,,
1686,Henry Adetokunboh Akinwande,M,22,196,91
1687,Jonathan Akinyemi,M,23,188,85
1688,Mary Akinyemi (-Akinkuowo),F,25,168,62
1689,Mildred Akinyi Milka Alango,F,19,157,49
1690,Mobolaji Iyabode Akiode,F,22,178,75
1691,Erika Akiyama,F,19,156,44
1692,Teruyoshi Akiyama,M,44,168,65
1693,Yasunari Akiyama,M,28,185,102
1694,Yoshiko Akiyama,F,22,153,
1695,Lahcen Samsam Akka,M,22,195,120
1696,Malika Al-Akkaoui,F,24,160,49
1697,Halil Akka,M,25,175,58
1698,Khadzhimurat Magomedovich Akkayev,M,19,178,105
1699,Johannes Johs Akkerhaugen,M,33,184,80
1700,Marina Dazmirovna Akobiya,F,25,165,57
1701,Joshua Emmanuel Josh Akognon,M,30,189,83
1702,Eric Akogyiram,M,19,170,68
1703,Ayewoubo Akomatsri,M,24,168,54
1704,Alego Akomi,M,,,
1705,Boay Akonay,M,18,168,62
1706,Aleksandr Akondinov,M,20,,
1707,Aulis Juhani Akonniemi,M,25,184,100
1708,Charles Kwablan Akonnor,M,22,186,68
1709,Ajtony kos,M,28,170,65
1710,Balkrishan Akotkar,M,27,171,57
1711,Kossi Casimir Akoto,M,23,167,73
1712,Mavis Akoto,F,22,148,49
1713,Artur Vladimirovich Akoyev,M,26,,109
1714,Ime Akpan,F,24,165,50
1715,Solomon Sunday Osayande Sonny Ba Akpata,M,27,185,72
1716,Daniel Akpeyi,M,30,187,80
1717,Mehmet Akpnar,M,32,174,69
1718,Justina Akpulo,F,20,,
1719,Maria Helene Akraka (-Henriksson),F,26,170,55
1720,Smart Ekiyegha-Akraka,M,26,170,64
1721,Ahmed Akram Abbas Mahmoud,M,19,188,80
1722,Muhammad Akram,M,29,180,72
1723,Nashat Akram Abid Ali,M,19,182,75
1724,Aristidis Akratopoulos,M,,,
1725,Konstantinos Kostas Akratopoulos,M,,,
1726,Sigurd Olav Akre-Aas,M,26,,
1727,Simo Huvi Akrenius,M,23,182,83
1728,Varvara Akritidou,F,23,173,78
1730,Monica Aksamit,F,26,183,74
1731,Anastasiya Sergeyevna Aksenova,F,18,182,65
1732,Liudmyla Vasylivna Aksenova (Shapovalova-),F,29,165,58
1733,Merey Akshalov,M,20,179,60
1734,Aleksandr Timofeyevich Aksinin,M,21,173,67
1735,Viktor Aksonov,M,23,185,79
1736,Ltf Aksoy,M,25,,
1737,Bekir Aksu,M,,186,97
1738,Semra Aksu (-Bayan),F,22,184,75
1739,Kemal Aksur,M,24,,
1740,Nikolay Aleksandrovich Aksyonov,M,26,201,100
1741,Alyona Aksyonova,F,20,172,52
1742,Irina Anatolyevna Aksyonova,F,17,174,62
1743,Yelizaveta Vyacheslavovna Aksyonova,F,18,168,60
1744,Sergey Vladimirovich Aksyutin,M,40,190,100
1745,Mohammad Aktar,M,17,156,48
1746,Sonia Aktar,F,19,,
1747,Hseyin Akta,M,27,175,63
1748,Serap Akta,F,24,165,46
1749,Shirin Akter,F,21,159,50
1750,Armah Akuetteh,M,26,175,75
1751,Ohenewa Akuffo,F,29,169,72
1752,Yuliya Yurivna Akulenko,F,27,173,53
1753,Marina Sergeyevna Akulova,F,22,181,70
1754,Julius Akumu,M,27,,
1755,Chie Akutsu,F,27,155,51
1756,Kozu Akutsu,M,27,162,51
1757,Noah Akwu,M,21,160,74
1759,Hasan Al,M,24,173,67
1760,Thijs Joris Al,M,24,180,72
1761,Mohamed Al Moukdad,M,,,
1762,Naser Al Shami,M,22,187,81
1763,Hussein Al-Aameri,M,25,177,80
1764,Kamil Al-Abbasi,M,26,183,77
1765,Abdul Rahman Hassan Al-Abdullah,M,18,178,65
1766,Abdullah Basheer Al-Abdullah,M,20,,
1767,Jamal Al-Abdullah Sulaiman Sultan,M,,170,65
1768,Sami Juma Sulaiman Al-Abdullah,M,25,174,65
1769,Ali Al-Abed,M,,177,62
1770,Hassan Abdullah Al-Absi,M,,,
1771,Saeed Ali Al-Adhreai,M,21,171,64
1772,Qaied Al-Adwani,M,25,,
1773,Ahmad Al-Afasi,M,33,,
1774,Fawaz Al-Ahmad,M,22,,
1775,Salem Mouled Musaid Al-Ahmadi,M,26,185,75
1776,Ahmed Sad Masud Al-Ahmed,M,18,177,70
1777,Abbas Murshid Al-Aibi,M,,168,67
1778,Abdullah Azzan Al-Akbary,M,18,183,70
1779,Abdullah Sulaiman Al-Akbary,M,23,180,75
1780,Mazoon Khalfan Saleh Al-Alawi,F,18,182,
1781,Mishal Al-Ali,M,28,,
1782,Mubarak Anber Aman Al-Ali,M,,170,65
1783,Abdul Azim Mohamed Al-Aliwat,M,21,155,
1784,Rashid Saad Riyadh Al-Ameeri,M,25,177,125
1785,Mohamed Al-Ammari,M,18,172,65
1786,Ali Ahmed Al-Amri,M,23,155,51
1787,Tariq Ahmed Al-Amri,M,25,165,49
1788,Atallah Al-Anazi,M,28,174,74
1789,Abdullah Mohamed Amer Al-Anbari,M,22,170,60
1790,Adel Al-Anezi,M,23,163,57
1791,Abdel Aziz Khalid Al-Anjri,M,,155,75
1792,Bassam Al-Ansari,M,,175,61
1793,Meshal Al-Anzi,M,20,,
1794,Safaq Qaed Al-Anzi,M,,187,83
1795,Ahmad Al-Aosta,M,23,165,69
1796,Ahmed Abdulrahman Al-Arbeed,M,,,
1797,Dhaher Al-Aryani,M,39,182,73
1798,Sayed Mohamed Al-Asibi,M,,,
1799,Yousef Al-Askari,M,18,175,65
1800,Nidal Al-Asmar,M,34,183,80
1801,Jarrah Al-Asmawi,M,21,,
1802,Khaled Al-Assaf,M,20,179,68
1803,Ahmed Mahmoud Al-Assiri,M,24,180,72
1804,Mohamed Juma Al-Aswad Al-Makhoun,M,20,180,80
1805,Kamal Ibrahim Al-Athari,M,17,176,63
1806,Rashid Salih Hamad Al-Athba,M,23,175,90
1807,Mary Al-Atrash,F,22,170,57
1808,Hamad Mubarak Al-Attiya,M,19,,
1809,Nasser Salih Nasser Abdullah Al-Attiya,M,25,178,82
1810,Hamad Ali Mohamed A Al-Attiyah,M,21,193,89
1811,Abdul Kareem Salah Al-Awad,M,22,170,63
1812,Khaled Anwar Al-Awadhi,M,15,170,61
1813,Ali Hamed Al-Awasa,M,27,180,70
1814,Wael Al-Aydy,M,36,178,76
1815,Khodor Munir Al-Aywan,M,15,165,67
1816,Mohamed Amin Al-Aywan,M,17,168,67
1817,Mohamed Mutlaq Khalaf Al-Azemi,M,22,178,64
1818,Musayed Ayed Al-Azimi,M,31,,
1819,Bilal Said Mabrouk Al-Azma,M,17,171,68
1820,Mohanad Ahmed Dheyaa Al-Azzawi,M,15,173,65
1821,Abdul Mohsen Al-Bagir,M,28,158,69
1822,Jafar Al-Bagir,M,21,167,69
1823,Sami Al-Baker,M,20,,
1824,Zouheir Al-Balah,M,21,175,74
1825,Ali Mohamed Al-Balooshi,M,17,180,60
1826,Ayesha Shahriyar Mohammed Al-Balooshi,F,24,160,57
1827,Mansour Ayoub Al-Baloushi,M,20,175,65
1828,Ali Al-Baluchi,M,29,,
1829,Wadha Bint Nasir Al-Balushi,F,26,160,75
1830,Abdullah Salim Al-Barwani,M,,161,65
1831,Faisal Abdullah Al-Basam,M,18,,
1832,Nada Mohamed Abdulzaher Mohamed Al-Bedwawi,F,18,162,53
1833,Waleed Saleh Al-Bekheet,M,23,190,98
1834,Mubarak Muhammad Salem Al-Besher,M,24,,
1835,Ahmad Al-Bishi,M,21,170,62
1836,Hamdan Awdah Al-Bishi,M,19,180,70
1837,Hamed Hamadan Al-Bishi,M,18,170,70
1838,Hussain Misfor Al-Bishi,M,23,173,69
